iter	Passed	Remaining
617	11486	25687
618	11502	25662
619	11519	25640
620	11535	25615
621	11551	25591
622	11566	25564
623	11584	25545
624	11602	25525
625	11621	25507
626	11638	25486
627	11661	25476
628	11682	25463
629	11702	25447
630	11720	25429
631	11741	25414
632	11760	25397
633	11779	25379
634	11796	25358
635	11813	25334
636	11832	25317
637	11850	25298
638	11868	25278
639	11885	25256
640	11903	25236
641	11921	25218
642	11939	25197
643	11957	25176
644	11976	25159
645	11996	25144
646	12016	25129
647	12035	25112
648	12056	25097
649	12072	25073
650	12089	25052
651	12108	25033
652	12124	25011
653	12143	24991
654	12160	24970
655	12177	24949
656	12194	24926
657	12210	24903
658	12224	24875
659	12241	24853
660	12259	24835
661	12277	24813
662	12294	24792
663	12311	24771
664	12328	24749
665	12344	24726
666	12362	24706
667	12379	24684
668	12397	24664
669	12413	24641
670	12429	24617
671	12444	24592
672	12460	24569
673	12477	24546
674	12493	24523
675	12508	24498
676	12524	24474
677	12541	24453
678	12559	24433
679	12576	24413
680	12593	24392
681	12609	24367
682	12625	24345
683	12642	24323
684	12659	24302
685	12676	24281
686	12693	24260
687	12711	24239
688	12728	24219
689	12745	24197
690	12763	24179
691	12781	24158
692	12799	24139
693	12816	24118
694	12832	24095
695	12850	24075
696	12868	24056
697	12886	24037
698	12904	24018
699	12921	23996
700	12938	23975
701	12954	23953
702	12971	23931
703	12988	23910
704	13007	23893
705	13023	23870
706	13040	23848
707	13056	23825
708	13074	23806
709	13091	23785
710	13108	23764
711	13128	23749
712	13145	23727
713	13162	23707
714	13178	23685
715	13195	23664
716	13211	23641
717	13228	23619
718	13242	23594
719	13259	23572
720	13275	23549
721	13291	23526
722	13307	23505
723	13324	23483
724	13341	23462
725	13358	23441
726	13374	23419
727	13390	23396
728	13409	23378
729	13428	23361
730	13444	23339
731	13460	23317
732	13479	23299
733	13496	23279
734	13513	23258
735	13532	23239
736	13548	23218
737	13567	23201
738	13584	23180
739	13600	23156
740	13620	23141
741	13637	23121
742	13653	23099
743	13670	23077
744	13687	23057
745	13704	23036
746	13721	23015
747	13738	22995
748	13754	22973
749	13770	22951
750	13787	22930
751	13807	22914
752	13824	22893
753	13841	22873
754	13859	22854
755	13879	22838
756	13897	22819
757	13915	22800
758	13932	22779
759	13950	22761
760	13967	22740
761	13983	22717
762	13999	22696
763	14016	22675
764	14033	22655
765	14051	22635
766	14069	22618
767	14089	22602
768	14106	22581
769	14123	22560
770	14138	22537
771	14155	22516
772	14171	22495
773	14188	22474
774	14205	22453
775	14223	22434
776	14241	22415
777	14257	22394
778	14273	22371
779	14288	22349
780	14304	22327
781	14320	22305
782	14337	22283
783	14355	22264
784	14371	22243
785	14388	22222
786	14405	22202
787	14422	22182
788	14438	22160
789	14455	22139
790	14469	22115
791	14486	22095
792	14503	22074
793	14523	22060
794	14543	22043
795	14560	22023
796	14578	22004
797	14595	21984
798	14612	21963
799	14628	21942
800	14645	21923
801	14663	21903
802	14681	21884
803	14699	21865
804	14715	21844
805	14732	21824
806	14750	21806
807	14769	21788
808	14784	21765
809	14801	21745
810	14816	21722
811	14834	21703
812	14856	21691
813	14875	21673
814	14898	21662
815	14922	21652
816	14947	21643
817	14971	21633
818	14994	21621
